"No.","Time","Source","Destination","Protocol","Length","Info"
"104","0.662292000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","136","Standard query response 0xb422 "
"105","0.662448000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","271","Client Hello"
"106","0.662650000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0x6864  A www.volksbank-stormarn.de"
"107","0.662717000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0x485c  AAAA www.volksbank-stormarn.de"
"108","0.664178000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","44","https > 39805 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1360"
"109","0.664190000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39805 > https [ACK] Seq=1 Ack=1 Win=3496960 Len=0"
"110","0.664317000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","271","Client Hello"
"111","0.664637000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","44","https > 39808 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1360"
"112","0.664649000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39808 > https [ACK] Seq=1 Ack=1 Win=3496960 Len=0"
"113","0.664757000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","271","Client Hello"
"114","0.665709000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","161","Standard query response 0x6864  A 194.149.250.192"
"115","0.666758000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","136","Standard query response 0x485c "
"116","0.666972000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0xa480  A www.volksbank-stormarn.de"
"117","0.667050000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0x7bf5  AAAA www.volksbank-stormarn.de"
"118","0.668825000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"119","0.668841000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"120","0.668850000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=1645 Ack=17874 Win=8355840 Len=0"
"121","0.668854000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"122","0.668857000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","205","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"123","0.668861000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=1645 Ack=19234 Win=8355840 Len=0"
"124","0.668863000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP Out-Of-Order] [TCP segment of a reassembled PDU]"
"125","0.668869000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=1645 Ack=20594 Win=8355840 Len=0"
"126","0.672110000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","1400","[TCP Out-Of-Order] Application Data"
"127","0.672129000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=1645 Ack=22119 Win=8355840 Len=0"
"128","0.672134000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","161","Standard query response 0xa480  A 194.149.250.192"
"129","0.672145000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","136","Standard query response 0x7bf5 "
"130","0.672347000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","509","Application Data"
